,speaker,date,title,god_count,healthcare_count,war_count,taxes_count,terrorism_count,immigration_count,pandemic_count,reform_count,criminal_count,climate_count,economy_count,sleepy_count,crooks_count,jobs_count,fraud_count,election_count,energy_count,coal_count,folks_count,mexicans_count,muslims_count,steal_count
47,trump,2020-09-11T00:55:27Z,"FULL RALLY: President Trump campaigns in Freeland, Michigan",3,0,26,0,0,1,2,0,4,0,6,7,0,0,1,7,4,0,0,0,0,0
48,trump,2020-09-13T04:11:14Z,"Trump delivers remarks from Minden, Nevada",4,1,15,0,0,0,1,1,11,1,4,7,0,0,2,11,7,1,0,0,0,0
49,trump,2020-09-14T03:25:46Z,"Trump holds a campaign event in Henderson, Nevada",4,1,8,0,0,0,2,1,4,0,4,1,0,0,1,4,4,1,0,0,0,0
50,trump,2020-09-17T19:47:02Z,LIVE: Trump's full speech at the White House Conference on American History (Sept. 17) | NTD,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,trump,2020-09-18T03:01:59Z,"FULL RALLY: President Trump in Mosinee, Wisconsin",4,0,25,0,0,1,1,0,9,0,5,8,0,0,2,12,3,1,0,0,0,0
52,trump,2020-09-18T19:47:02Z,"Trump talks COVID-19 vaccine distribution, TikTok ban | FULL",0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0
53,trump,2020-09-20T01:03:17Z,Live: Trump Holds Campaign Rally In North Carolina | NBC News,6,0,17,0,0,0,3,0,0,1,3,7,0,0,0,17,10,2,0,0,0,0
54,trump,2020-09-22T01:57:02Z,"President Trump FULL Speech at Vandalia, OH Campaign Rally (High Quality!) 9/21/20",7,0,21,0,0,1,3,0,0,1,4,11,0,0,1,5,9,5,0,0,0,5
55,trump,2020-09-23T22:54:43Z,President Trump holds press conference at the White House,0,0,11,0,0,0,5,0,0,0,4,0,0,0,1,5,1,0,0,0,0,0
56,trump,2020-09-25T03:55:20Z,"President Trump holds a freewheeling campaign rally in Jacksonville, FL | FULL RALLY",3,0,18,0,1,1,1,0,1,0,1,2,0,0,0,10,7,1,0,0,0,0
57,trump,2020-09-25T20:38:44Z,FULL: Trump campaign speech in Atlanta,8,0,8,0,0,0,0,4,3,0,2,0,0,0,0,4,1,0,0,0,0,1
58,trump,2020-09-27T06:52:17Z,"🔴LIVE: PRESIDENT DONALD TRUMP FULL SPEECH AT MIDDLETOWN, PA RALLY...",6,0,13,0,0,0,2,0,0,1,2,8,0,0,0,5,7,1,0,0,0,2
59,trump,2020-09-29T00:00:00Z,Debate 1 (Trump),0,5,3,0,0,0,0,0,0,0,4,0,0,0,5,19,2,0,0,0,0,0
60,trump,2020-09-30T15:05:56Z,"President Trump FULL Speech at Vandalia, OH Campaign Rally High Quality! 92120",3,0,5,0,0,0,2,0,2,2,0,0,0,0,0,9,0,0,0,0,0,0
61,trump,2020-10-01T03:28:36Z,"RAW VIDEO: President Donald Trump FULL SPEECH at Duluth, MN Rally 9/30/20",15,0,12,0,1,0,1,0,1,0,2,9,0,0,1,6,3,1,0,0,0,0
62,trump,2020-10-09T19:51:05Z,President Trump Rally On Rush Limbaugh's Show - 09/10/20 (FULL),1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,trump,2020-10-13T00:12:48Z,"""I'M BACK"" President Trump First Rally Since BEATING Covid-19 | Full Rally | 10/12/20",6,0,22,0,1,0,2,1,3,0,5,5,0,0,2,8,4,1,0,0,0,0
64,trump,2020-10-14T02:05:52Z,"RAW VIDEO: President Donald Trump FULL SPEECH at Johnstown, PA Rally 10/13/20",5,0,21,0,1,0,7,0,2,1,3,6,0,0,0,13,9,6,0,0,0,3
65,trump,2020-10-15T18:34:41Z,"WATCH LIVE: Trump holds campaign rally in Greenville, North Carolina",5,0,4,0,1,0,2,3,1,1,6,0,0,0,0,8,3,0,0,0,0,0
66,trump,2020-10-15T21:03:06Z,"President Donald Trump FULL SPEECH at Greenville, NC Rally 10/15/20",5,0,4,0,1,0,2,3,1,1,6,0,0,0,0,8,3,0,0,0,0,0
67,trump,2020-10-17T01:18:29Z,Trump speaks at  'Make America Great Again' rally in Georgia,6,0,23,0,1,0,3,5,9,0,6,8,0,0,0,12,4,0,0,0,0,1
68,trump,2020-10-18T14:25:34Z,Full speech: President Trump holds campaign rally in Muskegon,6,1,2,0,1,0,2,3,0,1,8,0,0,0,0,5,4,0,0,0,0,0
69,trump,2020-10-21T00:51:11Z,"""TIME TO WIN"" President Trump FULL RALLY In Erie, Pennsylvania",3,0,14,0,1,1,3,0,5,0,5,5,0,0,0,8,11,3,0,0,0,1
70,trump,2020-10-22T00:00:00Z,Debate 2 (Trump),0,7,7,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
71,trump,2020-10-22T23:37:45Z,President Trump's '60 Minutes' interview,7,0,2,0,1,0,2,2,0,0,13,0,0,0,0,8,7,0,0,0,0,0
72,trump,2020-10-24T18:18:52Z,Live: President Trump Delivers Remarks In North Carolina | NBC News,6,0,9,0,0,1,0,1,0,0,1,3,0,0,2,5,3,0,0,0,0,0
73,trump,2020-10-25T04:40:11Z,"President Donald Trump FULL SPEECH at Circleville, OH Rally 10/24/20",4,0,9,0,1,0,1,0,0,0,1,9,0,0,0,7,7,1,0,0,0,0
74,trump,2020-10-29T22:20:16Z,"President Donald Trump FULL SPEECH at Tampa, FL Rally 10/29/20",8,1,12,0,1,0,6,0,2,0,5,10,0,0,0,13,4,0,0,0,0,0
75,trump,2020-11-01T17:48:44Z,Trump Holds Campaign Rally In Michigan | NBC News,7,0,7,0,1,3,1,1,1,0,5,3,0,0,0,8,5,1,0,0,0,3
76,trump,2020-11-02T18:08:01Z,President Trump speaks at Make America Great Again rally in North Carolina — 11/2/2020,5,1,15,0,0,0,2,2,6,0,2,8,0,0,0,10,5,0,0,0,0,2
77,trump,2020-11-03T02:45:11Z,Meeting Donald Trump on Air Force One!,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
78,trump,2020-11-04T15:54:23Z,Trump’s full speech at the Republican National Convention  2020 | American Election 2020,8,1,17,0,0,2,3,2,6,1,5,0,0,0,1,4,4,1,0,0,0,2
79,trump,2020-11-05T18:37:36Z,Nevada officials provide election updates after Trump team files new lawsuit,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,2
80,trump,2020-11-06T02:28:33Z,In full: Trump once again claims US election is 'rigged',0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,2
